run_id,timestamp,model_type,problem_type,dataset_name,grid_type,has_outliers_removed,feature_engineering,scaler,variance_threshold,duration,number_of_combinations,ROC AUC Score,Accuracy,Precision,Recall,F1 Score,MSE,MAPE,MAE,RMSE,RMSLE,MSLE,R2
20240705_115358,20240705_125301,nn_classifier,binary_classification,full,deep_grid_search,False,none,RobustScaler,0.0,156.782617,24,0.6397027554415049,0.7479871175523349,0.5628865979381443,0.39737991266375544,0.4658703071672355,,,,,,,
20240705_115358,20240705_131538,nn_classifier,binary_classification,full,deep_grid_search,True,simple,StandardScaler,0.0,135.384252,24,0.6772741396721821,0.7311422413793104,0.6281800391389433,0.5095238095238095,0.5626643295354952,,,,,,,
20240705_115358,20240705_124642,nn_regression,regression,full,deep_grid_search,True,simple,RobustScaler,0.0,126.323453,24,,,,,,5.252880103109648e+16,0.9522996672096479,94144968.16855358,229191625.1329801,6.347163063938392,40.286478960223796,-0.20295369625091553
20240705_115358,20240705_123527,nn_regression,regression,medium_productions,deep_grid_search,True,none,RobustScaler,0.0,71.128898,24,,,,,,1.2787754817669636e+16,0.9478860766829843,39008750.065318845,113082955.46929093,5.736887606564022,32.91187941034788,-0.13502764701843262
20240705_115358,20240705_120240,nn_classifier,binary_classification,full,deep_grid_search,True,none,RobustScaler,0.0,107.259085,24,0.684284937466014,0.7327586206896551,0.6245353159851301,0.5333333333333333,0.5753424657534246,,,,,,,
20240705_115358,20240705_131817,nn_classifier,multi_class_classification,medium_productions,deep_grid_search,False,complex,StandardScaler,0.0,98.342023,24,,0.6222397476340694,0.3871823035357104,0.6222397476340694,0.4773428885593396,,,,,,,
20240705_115358,20240705_122021,nn_classifier,multi_class_classification,small_productions,deep_grid_search,False,simple,StandardScaler,0.0,53.055458,24,,0.7313195548489666,0.5348282913044906,0.7313195548489666,0.6178273557952702,,,,,,,
20240705_115358,20240705_122309,nn_regression,regression,large_productions,deep_grid_search,False,simple,RobustScaler,0.0,49.091031,24,,,,,,1.965569338089774e+17,0.9999502176500966,268110692.65746042,443347418.8590449,11.639561936290153,135.47940206873457,-0.5765719413757324
20240705_115358,20240705_124207,nn_classifier,multi_class_classification,large_productions,deep_grid_search,False,complex,StandardScaler,0.0,63.900585,24,,0.3231292517006803,0.10441251330464159,0.3231292517006803,0.15782662679467674,,,,,,,
20240705_115358,20240705_131941,nn_regression,regression,medium_productions,deep_grid_search,False,complex,StandardScaler,0.0,83.621197,24,,,,,,6387865190050336.0,0.9948411924421404,31252244.750801593,79924121.45310286,9.746819118961884,95.00048293776094,-0.18049776554107666
20240705_115358,20240705_120053,nn_regression,regression,large_productions,deep_grid_search,False,complex,StandardScaler,0.0,53.891403,24,,,,,,1.965565078915209e+17,0.9998958599730847,268109417.78838187,443346938.51601243,11.21167555881678,125.70166883616952,-0.5765684843063354
20240705_115358,20240705_124436,nn_classifier,multi_class_classification,large_productions,deep_grid_search,True,simple,StandardScaler,0.0,58.697954,24,,0.33506044905008636,0.11226550451764553,0.33506044905008636,0.16818040650896962,,,,,,,
20240705_115358,20240705_125351,nn_classifier,multi_class_classification,large_productions,deep_grid_search,False,none,StandardScaler,0.0,50.714171,24,,0.3231292517006803,0.10441251330464159,0.3231292517006803,0.15782662679467674,,,,,,,
20240705_115358,20240705_115825,nn_classifier,multi_class_classification,small_productions,deep_grid_search,False,complex,StandardScaler,0.0,57.223829,24,,0.7313195548489666,0.5348282913044906,0.7313195548489666,0.6178273557952702,,,,,,,
20240705_115358,20240705_131638,nn_classifier,binary_classification,small_productions,deep_grid_search,False,simple,RobustScaler,0.0,60.020556,24,0.652830547112462,0.848966613672496,0.639344262295082,0.3482142857142857,0.4508670520231214,,,,,,,
20240705_115358,20240705_124743,nn_classifier,binary_classification,large_productions,deep_grid_search,True,none,RobustScaler,0.0,60.177751,24,0.6993501297315647,0.690846286701209,0.6178343949044586,0.766798418972332,0.6843033509700176,,,,,,,
20240705_115358,20240705_122600,nn_classifier,multi_class_classification,full,deep_grid_search,False,simple,StandardScaler,0.0,171.002579,24,,0.5744766505636071,0.33002342204278073,0.5744766505636071,0.4192166608817527,,,,,,,
20240705_115358,20240705_125024,nn_regression,regression,small_productions,deep_grid_search,True,complex,StandardScaler,0.0,69.93665,24,,,,,,607389403195206.9,0.8310012305569101,6024032.592661648,24645271.41654575,4.195054930817804,17.59848587257877,-0.06360161304473877
20240705_115358,20240705_121021,nn_regression,regression,small_productions,deep_grid_search,True,none,StandardScaler,0.0,49.460539,24,,,,,,607317647852382.0,0.8242005272974492,6024119.704636844,24643815.6106635,3.9085654082272474,15.276883550390629,-0.06347620487213135
20240705_115358,20240705_120333,nn_classifier,binary_classification,large_productions,deep_grid_search,False,none,StandardScaler,0.0,53.293967,24,0.682329280025966,0.6819727891156463,0.6598639455782312,0.6903914590747331,0.6747826086956522,,,,,,,
20240705_115358,20240705_115728,nn_classifier,binary_classification,large_productions,deep_grid_search,True,simple,RobustScaler,0.0,48.770087,24,0.7026237299643542,0.696027633851468,0.6262295081967213,0.7549407114624506,0.6845878136200717,,,,,,,
20240705_115358,20240705_121149,nn_classifier,binary_classification,medium_productions,deep_grid_search,True,complex,StandardScaler,0.0,88.160428,24,0.6833507775119617,0.7678571428571429,0.6620370370370371,0.47039473684210525,0.55,,,,,,,
20240705_115358,20240705_122718,nn_classifier,multi_class_classification,medium_productions,deep_grid_search,True,none,StandardScaler,0.0,77.931026,24,,0.5535714285714286,0.3064413265306123,0.5535714285714286,0.39449917898193765,,,,,,,
20240705_115358,20240705_121928,nn_classifier,multi_class_classification,medium_productions,deep_grid_search,False,none,StandardScaler,0.0,90.587385,24,,0.6222397476340694,0.3871823035357104,0.6222397476340694,0.4773428885593396,,,,,,,
20240705_115358,20240705_122929,nn_classifier,multi_class_classification,medium_productions,deep_grid_search,True,simple,StandardScaler,0.0,84.434919,24,,0.5535714285714286,0.3064413265306123,0.5535714285714286,0.39449917898193765,,,,,,,
20240705_115358,20240705_125450,nn_regression,regression,small_productions,deep_grid_search,False,complex,StandardScaler,0.0,57.477223,24,,,,,,125259463849454.95,0.9928007330064281,2268734.184315155,11191937.448424868,8.55870555399539,73.25144075999152,-0.042853593826293945
20240705_115358,20240705_122220,nn_classifier,multi_class_classification,full,deep_grid_search,True,complex,StandardScaler,0.0,118.369805,24,,0.5032327586206896,0.25324320934898925,0.5032327586206896,0.3369314670621678,,,,,,,
20240705_115358,20240705_124243,nn_classifier,multi_class_classification,small_productions,deep_grid_search,True,simple,StandardScaler,0.0,35.719025,24,,0.6059479553903345,0.36717292464172685,0.6059479553903345,0.4572662811510395,,,,,,,
20240705_115358,20240705_123416,nn_classifier,multi_class_classification,medium_productions,deep_grid_search,True,complex,StandardScaler,0.0,83.170605,24,,0.5535714285714286,0.3064413265306123,0.5535714285714286,0.39449917898193765,,,,,,,
20240705_115358,20240705_131322,nn_classifier,multi_class_classification,small_productions,deep_grid_search,False,none,StandardScaler,0.0,962.651599,24,,0.7313195548489666,0.5348282913044906,0.7313195548489666,0.6178273557952702,,,,,,,
20240705_115358,20240705_115959,nn_classifier,binary_classification,large_productions,deep_grid_search,False,complex,StandardScaler,0.0,47.120215,24,0.7171050343700373,0.7193877551020408,0.7248062015503876,0.6654804270462633,0.6938775510204082,,,,,,,
20240705_115358,20240705_120931,nn_classifier,binary_classification,full,deep_grid_search,False,simple,StandardScaler,0.0,150.076355,24,0.6741451667383533,0.7652979066022544,0.5959409594095941,0.47016011644832606,0.5256305939788446,,,,,,,
20240705_115358,20240705_123024,nn_classifier,binary_classification,small_productions,deep_grid_search,False,none,RobustScaler,0.0,54.851522,24,0.6856434788615641,0.8569157392686805,0.6527777777777778,0.41964285714285715,0.5108695652173914,,,,,,,
20240705_115358,20240705_121409,nn_classifier,binary_classification,small_productions,deep_grid_search,True,simple,StandardScaler,0.0,34.413732,24,0.7427581427581427,0.8215613382899628,0.7241379310344828,0.5675675675675675,0.6363636363636364,,,,,,,
20240705_115358,20240705_123905,nn_classifier,multi_class_classification,large_productions,deep_grid_search,False,simple,StandardScaler,0.0,50.810363,24,,0.3231292517006803,0.10441251330464159,0.3231292517006803,0.15782662679467674,,,,,,,
20240705_115358,20240705_124103,nn_classifier,multi_class_classification,large_productions,deep_grid_search,True,none,StandardScaler,0.0,117.970593,24,,0.33506044905008636,0.11226550451764553,0.33506044905008636,0.16818040650896962,,,,,,,
20240705_115358,20240705_115911,nn_regression,regression,small_productions,deep_grid_search,False,none,RobustScaler,0.0,45.887081,24,,,,,,125259222362045.48,0.9889343063627721,2268709.4311505863,11191926.659965454,7.927476924174122,62.84489038331319,-0.04285156726837158
20240705_115358,20240705_123155,nn_classifier,multi_class_classification,medium_productions,deep_grid_search,False,simple,StandardScaler,0.0,90.979864,24,,0.6222397476340694,0.3871823035357104,0.6222397476340694,0.4773428885593396,,,,,,,
20240705_115358,20240705_124337,nn_regression,regression,small_productions,deep_grid_search,False,simple,RobustScaler,0.0,54.513483,24,,,,,,125259209130801.1,0.9889201499917115,2268706.0935474555,11191926.068858795,7.895778543150085,62.34331880246928,-0.04285156726837158
20240705_115358,20240705_123253,nn_classifier,binary_classification,large_productions,deep_grid_search,False,simple,RobustScaler,0.0,57.621964,24,0.6786198662292651,0.6785714285714286,0.6586206896551724,0.6797153024911032,0.6690017513134852,,,,,,,
20240705_115358,20240705_120445,nn_classifier,binary_classification,medium_productions,deep_grid_search,True,none,RobustScaler,0.0,71.63887,24,0.6522876794258373,0.7440476190476191,0.6095238095238096,0.42105263157894735,0.4980544747081712,,,,,,,
20240705_115358,20240705_121234,nn_regression,regression,small_productions,deep_grid_search,True,simple,StandardScaler,0.0,44.545856,24,,,,,,607322258342237.2,0.8258387130057367,6024233.576975797,24643909.15301867,3.916200480899306,15.336626206595955,-0.0634843111038208
20240705_115358,20240705_125616,nn_classifier,binary_classification,medium_productions,deep_grid_search,False,simple,RobustScaler,0.0,85.997547,24,0.6242092639784141,0.7657728706624606,0.5454545454545454,0.34285714285714286,0.42105263157894735,,,,,,,
20240705_115358,20240705_123814,nn_classifier,binary_classification,full,deep_grid_search,False,complex,StandardScaler,0.0,165.716196,24,0.6654747237632834,0.7677133655394525,0.6122448979591837,0.4366812227074236,0.5097706032285472,,,,,,,
20240705_115358,20240705_120701,nn_classifier,binary_classification,full,deep_grid_search,True,complex,StandardScaler,0.0,135.331494,24,0.6771200704316529,0.7273706896551724,0.6165413533834586,0.5206349206349207,0.5645438898450946,,,,,,,
20240705_115358,20240705_121335,nn_classifier,multi_class_classification,large_productions,deep_grid_search,True,complex,StandardScaler,0.0,60.60331,24,,0.33506044905008636,0.11226550451764553,0.33506044905008636,0.16818040650896962,,,,,,,
20240705_115358,20240705_125720,nn_regression,regression,large_productions,deep_grid_search,True,complex,RobustScaler,0.0,63.456021,24,,,,,,1.6836803953666586e+17,2.74872904293576,239479335.42866877,410326747.2839979,14.11887585688278,199.34265546206746,-0.3690767288208008
20240705_115358,20240705_115639,nn_regression,regression,full,deep_grid_search,False,simple,StandardScaler,0.0,160.821393,24,,,,,,4.467702060488902e+16,0.9969447357409696,75712959.34698588,211369393.727874,11.03789331973942,121.83508893794809,-0.1471952199935913
20240705_115358,20240705_122804,nn_classifier,binary_classification,small_productions,deep_grid_search,True,complex,StandardScaler,0.0,45.577047,24,0.6574844074844075,0.7769516728624535,0.6590909090909091,0.3918918918918919,0.4915254237288136,,,,,,,
20240705_115358,20240705_124914,nn_regression,regression,medium_productions,deep_grid_search,False,simple,StandardScaler,0.0,90.77129,24,,,,,,6387788325855038.0,0.9916952118754154,31251438.965043336,79923640.59435129,8.798257358516256,77.40933254668546,-0.18048346042633057
20240705_115358,20240705_121700,nn_classifier,multi_class_classification,full,deep_grid_search,False,complex,StandardScaler,0.0,169.864008,24,,0.5744766505636071,0.33002342204278073,0.5744766505636071,0.4192166608817527,,,,,,,
20240705_115358,20240705_121757,nn_classifier,binary_classification,small_productions,deep_grid_search,False,complex,StandardScaler,0.0,56.972845,24,0.6308804227687207,0.8473767885532592,0.66,0.29464285714285715,0.4074074074074074,,,,,,,
